Order_ID,Order_Date,Ship_Date,Customer_Name,Region,Category,Sub-Category,Product_Name,Sales,Quantity,Discount,Profit
ORD0001,2024-04-18,2024-04-19,Customer_42,North,Laptops,Ultrabook,Ultrabook 47,110629.09,4,0.04,6756.18
ORD0002,2023-04-27,2023-05-02,Customer_157,West,Accessories,Chargers,Chargers 36,45324.64,4,0.18,112.1
ORD0003,2023-11-22,2023-11-28,Customer_102,West,Accessories,Covers,Covers 3,89485.3,9,0.12,6933.67
ORD0004,2023-12-13,2023-12-14,Customer_60,North,Laptops,Business,Business 20,47256.73,4,0.12,4268.61
ORD0005,2024-05-01,2024-05-02,Customer_75,North,Tablets,Windows Tablet,Windows Tablet 27,40133.06,6,0.04,3597.07
ORD0006,2024-10-14,2024-10-20,Customer_49,West,Accessories,Covers,Covers 9,104884.03,3,0.09,884.77
ORD0007,2024-07-10,2024-07-14,Customer_79,West,Accessories,Headphones,Headphones 29,49285.47,9,0.29,-6511.26
ORD0008,2023-07-02,2023-07-08,Customer_113,North,Tablets,iPad,iPad 28,22844.34,7,0.12,-1329.77
ORD0009,2023-03-03,2023-03-05,Customer_187,North,Accessories,Headphones,Headphones 26,81466.91,10,0.02,7152.76
ORD0010,2024-12-19,2024-12-24,Customer_182,West,Laptops,Ultrabook,Ultrabook 49,13208.63,4,0.29,-2099.7
ORD0011,2023-06-05,2023-06-06,Customer_74,East,Accessories,Covers,Covers 31,17139.18,6,0.24,-2390.69
ORD0012,2024-05-07,2024-05-09,Customer_20,West,Accessories,Covers,Covers 15,11479.74,5,0.26,-876.49
ORD0013,2023-10-14,2023-10-16,Customer_6,East,Phones,Android,Android 48,78440.99,1,0.25,-1535.58
ORD0014,2023-09-17,2023-09-23,Customer_197,West,Phones,iPhone,iPhone 4,106609.23,8,0.24,-18765.24
ORD0015,2024-08-24,2024-08-27,Customer_15,South,Accessories,Covers,Covers 45,88439.79,7,0.19,-6938.31
ORD0016,2024-01-01,2024-01-07,Customer_16,South,Tablets,iPad,iPad 34,41796.75,7,0.03,3997.28
ORD0017,2023-09-04,2023-09-10,Customer_90,West,Phones,Android,Android 39,33245.84,8,0.18,-810.04
ORD0018,2024-08-20,2024-08-22,Customer_140,South,Tablets,Windows Tablet,Windows Tablet 41,82682.29,6,0.22,1648.72
ORD0019,2024-02-14,2024-02-16,Customer_156,North,Accessories,Chargers,Chargers 35,45995.12,7,0.2,-250.58
ORD0020,2024-02-17,2024-02-19,Customer_148,East,Phones,Android,Android 48,107131.47,4,0.21,-14626.25
ORD0021,2023-06-18,2023-06-20,Customer_186,North,Phones,Android,Android 11,6221.19,4,0.07,501.38
ORD0022,2024-11-14,2024-11-20,Customer_180,East,Laptops,Ultrabook,Ultrabook 24,37014.88,1,0.06,6863.93
ORD0023,2023-07-27,2023-07-30,Customer_152,North,Laptops,Ultrabook,Ultrabook 43,116886.64,2,0.1,6914.53
ORD0024,2023-02-15,2023-02-22,Customer_112,West,Tablets,iPad,iPad 43,30121.83,6,0.16,2646.93
ORD0025,2023-07-29,2023-07-30,Customer_47,South,Tablets,Windows Tablet,Windows Tablet 32,78585.24,2,0.19,-7912.75
ORD0026,2024-02-07,2024-02-11,Customer_88,North,Laptops,Gaming,Gaming 13,26029.59,4,0.2,-1779.79
